,fruit name,avg(market price)
0,Papaya,28.11111111
1,Grapes ( Black ),62.36111111
2,Pineapple,42.36111111
3,Apple washington,210
4,Custard apple,54.91666667
5,Orange,77.11111111
6,Mango ripe,80.30555556
7,Cantaloupe (Musk melon),25.72222222
8,Banana Regular,29.16666667
9,Grapes ( Green ),75.05555556
10,Avocado (Butterfruit),212.7777778
11,Orange Imported,79.05555556
12,Sweet lime,62.33333333
13,Sapota (Sapodilla),43.83333333
14,Sugar cane,25.38888889
15,Gooseberry Indian,114.0277778
16,Watermelon,16.69444444
17,Mango unripe,95.77777778
18,Guava,49.61111111
19,Jackfruit,120.4166667
20,Apricot,160.8333333
21,Pears,106.1111111
22,Lychee,220.2777778
23,Banana other,36.33333333
24,Pomegranate,127.3611111
25,Apple Simla,145.2777778
26,Banana Morris Kg,22.13888889
27,Apple Green ( Smith ),200.2777778
