,Name,avg(Rate)
0,Western: Gujarat: Panam (m),122
1,Southern: Tamil Nadu: Vaigai (m),278
2,Western: Maharashtra: Bhandardara (m),744
3,Southern: Tamil Nadu: Parambikulam (m),555
4,Current Reservior Level: Western Region: Maharashtra: Surya (m),116
5,Southern: Karnataka: Almatti (m),518
6,Northern: Himachal Pradesh: Pong Dam (m),408
7,Western: Gujarat: Shetrunji (m),55
8,Southern: Kerala: Periyar (m),867
9,Central: Uttrakhand: Tehri (m),801
11,Western: Gujarat: Bhadar (m),107
12,Southern: Tamil Nadu: Lower Bhawani (m),278
13,Western: Maharashtra: Yeldari (m),460
14,Southern: Karnataka: Harangi (m),870
15,Western: Maharashtra: Bhima (Ujjani) (m),496
16,Southern: Telangana: Sriramsagar (m),331
17,Central: Madhya Pradesh: Gandhi Sagar (m),398
18,Southern: Karnataka: Gerusoppa (m),49
19,Southern: Karnataka: Vanivilas Sagar (m),650
20,Eastern: Jharkhand: Konar (m),425
21,Eastern: Odisha: Rengali (m),121
22,Western: Gujarat: Sabarmati (Dharoi) (m),182
23,Eastern: Tripura: Gumti (m),90
24,Eastern: Odisha: Machkund (Jalput) (m),830
25,Southern: Karnataka: Ghataprabha (m),656
26,Current Reservior Level: Northern: Himachal Pradesh: Gobind Sagar (Bhakra) (m),490
27,Southern: Kerala: Kallada (Parappar) (m),111
28,Southern: Andhra Pradesh and Telangana: Nagarjuna Sagar (m),176
29,Eastern: Jharkhand: Tenughat (m),260
30,Northern: Rajasthan: Mahi Bajaj Sagar (m),276
31,Western: Maharashtra: Girna (m),396
32,Southern: Karnataka: Hemavathy (m),886
33,Southern: Karnataka: Bhadra (m),656
34,Western: Maharashtra: Upper Vaitarna (m),601
35,Western: Maharashtra: Mula (m),551
36,Western: Maharashtra: Bhatsa (m),132
37,Southern: Karnataka: Malaprabha (Renuka) (m),632
38,Central: Madhya Pradesh: Barna (m),345
39,Southern: Tamil Nadu: Sholayar (m),994
40,Southern: Andhra Pradesh: Somasila (m),100
41,Southern: Kerala: Idukki (m),729
42,Eastern: West Bengal: Kangsabati (m),133
43,Western: Maharashtra: Pench (Totaladoh) (m),485
44,Eastern: Odisha: Hirakud (m),191
45,Eastern: Jharkhand: Maithon (m),148
46,Eastern: Jharkhand: Panchet Hill (m),128
47,Southern: Karnataka: Tungabhadra (m),495
48,Southern: Karnataka: Krishnaraja Sagra (m),751
49,Southern: Kerala: Malapmuzha (m),111
50,Central: Madhya Pradesh: Bargi (m),420
51,India Central: Uttrakhand: Ramganga (m),355
52,Southern: Tamil Nadu: Mettur (Stanley) (m),238
53,Western: Maharashtra: Dudhganga (m),642
54,Current Reservior Level: Western Region: Maharashtra: Tillari (m),109
55,Southern: Kerala: Kakki (m),976
56,Central: Uttar Pradesh: Rihand (m),260
57,Central: Uttar Pradesh: Matatila (m),305
58,Current Reservior Level: Central Region: Chhattisgarh: Tandula (m),328
59,Northern: Rajasthan: Jhakam (m),356
60,Eastern: Odisha: Salanadi (m),76
61,Southern: Karnataka: Linganamakki (m),550
62,Western: Gujarat: Dantiwada (m),169
63,Western: Maharashtra: Isapur (m),439
64,Western: Gujarat: Damanaganga (m),78
66,Western: Gujarat: Kadana (m),125
67,Northern: Rajasthan: Rana Pratap Sagar (m),351
69,Western: Gujarat: Sardar Sarovar (m),124
70,Southern: Tamil Nadu: Aliyar (m),316
71,Western: Gujarat: Ukai (m),103
72,Western: Maharashtra: Upper Wardha (m),340
73,Eastern: Odisha: Balimela (m),451
74,Northern: Punjab: Thein (m),501
75,Southern: Karnataka: Narayanpur (m),491
76,Western: Maharashtra: Khadakvasla (m),581
77,Southern: Andhra Pradesh and Telangana: Srisailam (m),256
78,Southern: Kerala: Idamalayar (m),162
79,Central: Chhattisgarh: Minimata Bangoi (m),355
81,Eastern: West Bengal: Mayurakshi (m),116
82,Southern: Karnataka: Kabini (Sancherla Tank) (m),695
83,Western: Maharashtra: Manikdoh (Kukadi) (m),699
84,Western: Maharashtra: Upper Tapi (m),213
85,Western: Maharashtra: Koyana (m),655
86,Eastern: Odisha: Upper Kolab (m),852
87,Current Reservior Level: Eastern Region: Odisha: Hariharjhor (m),143
88,Eastern: Odisha: Upper Indravati (m),632
89,Western: Maharashtra: Dhom (m),743
90,Southern: Karnataka: Supa (m),551
92,Central: Madhya Pradesh: Tawa (m),350
93,Central: Madhya Pradesh: Indira Sagar (m),256
94,Eastern: Jharkhand: Tilaiya (m),366
95,Central: Madhya Pradesh: Bansagar (m),338
97,Central: Chhattisgarh: Mahanadi (m),348
98,Western: Gujarat: Karjan (m),113
99,Southern: Telangana: Lower Manair (m),277
100,Western: Maharashtra: Jayakwadi (Paithon) (m),463
