,veggie,avg(market price)
0,Banana flower,17.97222222222222
1,Coconut (fresh),21.0
2,Radish (Daikon),22.25
3,Bottlegourd,21.75
4,Okra (Ladies finger),20.416666666666668
5,Ivy gourd,30.22222222222222
6,Snake gourd,18.555555555555557
7,Green onion (Scallian or Spring onion),39.638888888888886
8,Amaranth leaves,15.11111111111111
9,Onion Small,27.0
10,Shallot (pearl onion),32.77777777777778
11,Mint leaves,5.666666666666667
12,Carrot,32.861111111111114
13,Mushroom,79.77777777777777
14,Amla,62.638888888888886
15,Eggplant (Brinjal or Aubergine),24.88888888888889
16,Cabbage,17.333333333333332
17,Mustard leaves,17.63888888888889
18,Butter beans,43.583333333333336
19,Beetroot,28.11111111111111
20,French Beans (Green beans),32.916666666666664
21,Sorrel leaves,11.527777777777779
22,Ginger,38.138888888888886
23,Cluster beans,33.97222222222222
24,Cauliflower,24.25
25,Curry leaves,40.44444444444444
26,Baby corn,38.388888888888886
27,Sweet potato,41.083333333333336
28,Potato,26.0
29,Lemon (Lime),37.94444444444444
30,Green chili,39.80555555555556
31,Bell Pepper (Capsicum),33.361111111111114
32,Brinjal ( Big ),24.75
33,Onion Big,21.694444444444443
34,Colocasia leaves (Taro leaves),13.305555555555555
35,Spinach,12.444444444444445
36,Green peas,46.55555555555556
37,Mango,23.63888888888889
38,Garlic,63.916666666666664
39,Pumpkin,24.13888888888889
40,Cucumber,13.777777777777779
41,Bitter gourd,26.833333333333332
42,Drumsticks,37.638888888888886
43,Ash gourd,18.75
44,Colocasia roots (Taro roots),24.77777777777778
45,Elephant Yam,27.694444444444443
46,Ridge gourd,25.833333333333332
47,Corn,24.833333333333332
48,Dill leaves,13.61111111111111
49,Coriander leaves (Cilantro),9.36111111111111
50,Tomato,51.52777777777778
51,Fenugreek leaves,12.527777777777779
52,"Broad beans (Fava beans, lima beans)",28.194444444444443
53,Plantain (raw banana),6.361111111111111
